ID DEPATAMENTO,DEPARTAMENTO,ID MUNICIPIO,MUNICIPIO,ID LOCALIDAD,LOCALIDAD,AÑO SERVICIO,MES SERVICIO,ENERGÍA ACTIVA,ENERGÍA REACTIVA,POTENCIA MÁXIMA,DÍA DE DEMANDA MÁXIMA,FECHA DE DEMANDA MÁXIMA,PROMEDIO DIARIO EN HORAS
19.0,CAUCA,19809,TIMBIQUÍ,19809003.0,COTEJE (TIMBIQUÍ - CAUCA),2024,7,5913.0,4186.0,29.88,Jueves,07/11/2024 07:30:00 PM,7.45
19.0,CAUCA,19809,TIMBIQUÍ,19809007.0,SAN JOSE (TIMBIQUÍ - CAUCA),2024,7,6046.0,4222.0,34.58,Lunes,07/15/2024 07:45:00 PM,6.49
19.0,CAUCA,19809,TIMBIQUÍ,19809009.0,SANTA ROSA DE SAIJA (TIMBIQUÍ - CAUCA),2024,7,3295.0,1109.0,19.8,Lunes,07/22/2024 07:45:00 PM,6.32
27.0,CHOCÓ,27006,ACANDÍ,27006000.0,ACANDÍ (ACANDÍ - CHOCÓ),2024,7,727226.0,207226.0,1561.12,Sabado,07/13/2024 09:45:00 PM,19.03
27.0,CHOCÓ,27006,ACANDÍ,27006003.0,CAPURGANA (ACANDÍ - CHOCÓ),2024,7,349527.0,110165.0,817.08,Miercoles,07/03/2024 08:45:00 PM,18.45
27.0,CHOCÓ,27025,ALTO BAUDO,27025000.0,CIUDAD BAUDO - PIE DE PATO (ALTO BAUDO - CHOCÓ),2024,7,46420.0,16571.0,139.57,Domingo,07/21/2024 12:30:00 PM,17.51
27.0,CHOCÓ,27075,BAHÍA SOLANO,27075000.0,CIUDAD MUTIS (BAHÍA SOLANO - CHOCÓ),2024,7,879191.0,232126.0,1579.16,Lunes,07/29/2024 07:45:00 PM,23.47
27.0,CHOCÓ,27075,BAHÍA SOLANO,27075002.0,EL VALLE (BAHÍA SOLANO - CHOCÓ),2024,7,196222.0,66893.0,423.19,Lunes,07/15/2024 07:15:00 PM,23.16
27.0,CHOCÓ,27075,BAHÍA SOLANO (MUTIS),27075001.0,CUPICA (BAHÍA SOLANO - CHOCÓ),2024,7,60272.0,18844.0,130.01,Lunes,07/29/2024 07:15:00 PM,22.1
27.0,CHOCÓ,27077,BAJO BAUDÓ,27077905.0,BUENAVISTA (BAJO BAUDÓ (PIZARRO) - CHOCÓ),2024,7,3622.0,1429.0,16.32,Miercoles,07/03/2024 11:30:00 AM,8.32
27.0,CHOCÓ,27077,BAJO BAUDÓ,27077029.0,FIRME DE USARGA (BAJO BAUDÓ (PIZARRO) - CHOCÓ),2024,7,730.0,302.0,7.29,Lunes,07/01/2024 07:00:00 PM,4.44
27.0,CHOCÓ,27077,BAJO BAUDÓ,27077026.0,GUINEAL (BAJO BAUDÓ (PIZARRO) - CHOCÓ),2024,7,7265.0,4440.0,34.02,Lunes,07/15/2024 11:30:00 AM,10.23
27.0,CHOCÓ,27077,BAJO BAUDÓ,27077008.0,ORPUA (BAJO BAUDÓ - CHOCÓ),2024,7,942.0,268.0,7.19,Martes,07/23/2024 06:30:00 PM,8.13
27.0,CHOCÓ,27077,BAJO BAUDÓ,27077000.0,PIZARRO (BAJO BAUDÓ - CHOCÓ),2024,7,257463.0,99964.0,478.37,Lunes,07/15/2024 12:30:00 PM,23.3
27.0,CHOCÓ,27077,BAJO BAUDÓ,27077916.0,TERRON (BAJO BAUDÓ - CHOCÓ),2024,7,3828.0,1591.0,27.57,Jueves,07/25/2024 01:00:00 PM,7.03
27.0,CHOCÓ,27077,BAJO BAUDÓ,27077019.0,VIRUDO (BAJO BAUDÓ - CHOCÓ),2024,7,6922.0,5092.0,31.05,Domingo,07/21/2024 10:00:00 PM,9.12
27.0,CHOCÓ,27099,BOJAYÁ,27099000.0,BELLAVISTA (BOJAYÁ (BELLAVISTA) - CHOCÓ),2024,7,63749.0,18620.0,265.98,Domingo,07/07/2024 03:00:00 PM,10.39
27.0,CHOCÓ,27099,BOJAYÁ,27099002.0,LA LOMA DE BOJAYÁ (BOJAYÁ (BELLAVISTA) - CHOCÓ),2024,7,9539.0,3531.0,51.2,,07/20/2024 07:30:00 PM,8.1
27.0,CHOCÓ,27099,BOJAYÁ,27099005.0,NAPIPI (BOJAYÁ - CHOCÓ),2024,7,9344.0,2970.0,60.8,Domingo,07/07/2024 07:45:00 PM,6.16
27.0,CHOCÓ,27099,BOJAYÁ,27099008.0,PUERTO CONTO (BOJAYÁ (BELLAVISTA) - CHOCO),2024,7,11897.0,3685.0,62.4,Martes,07/02/2024 07:00:00 PM,7.34
27.0,CHOCÓ,27250,EL LITORAL DEL SAN JUAN,27250000.0,SANTA GENOVEVA DE DOCORDO (EL LITORAL DEL SAN JUAN - CHOCÓ),2024,7,61530.0,30589.0,245.12,Domingo,07/07/2024 07:30:00 PM,10.55
27.0,CHOCÓ,27372,JURADO,27372000.0,JURADO (JURADO - CHOCÓ),2024,7,182873.0,62366.0,351.2,Lunes,07/29/2024 08:00:00 PM,23.32
27.0,CHOCÓ,27425,MEDIO ATRATO,27425000.0,BETE (MEDIO ATRATO - CHOCÓ),2024,7,16169.0,7622.0,68.0,Jueves,07/11/2024 11:30:00 AM,10.34
27.0,CHOCÓ,27425,MEDIO ATRATO,27425008.0,SAN ROQUE (MEDIO ATRATO - CHOCÓ),2024,7,1666.0,670.0,22.92,Lunes,07/08/2024 08:00:00 PM,3.24
